admin_name,Run_Number,Habitat_Multiplier
AA,0,1.5848931924611125
AA,1,1.5848931924611125
AA,2,1.5848931924611125
AA,3,1.5848931924611125
AA,4,1.5848931924611125
BB,0,0.3981071705534972
BB,1,0.3981071705534972
BB,2,0.3981071705534972
BB,3,0.3981071705534972
BB,4,0.3981071705534972
CC,0,0.3981071705534972
CC,1,0.3981071705534972
CC,2,0.3981071705534972
CC,3,0.3981071705534972
CC,4,0.3981071705534972
DD,0,1.5848931924611125
DD,1,1.5848931924611125
DD,2,1.5848931924611125
DD,3,1.5848931924611125
DD,4,1.5848931924611125
EE,0,0.1
EE,1,0.1
EE,2,0.1
EE,3,0.1
EE,4,0.1
FF,0,25.118864315095795
FF,1,25.118864315095795
FF,2,25.118864315095795
FF,3,25.118864315095795
FF,4,25.118864315095795
GG,0,6.30957344480193
GG,1,6.30957344480193
GG,2,6.30957344480193
GG,3,25.118864315095795
GG,4,6.30957344480193
